mmr_temp,fish_id,temp,bw,mean_rmr_unscaled,mean_rmr_bw,mean_rmr_72,n_rmr,treatment
19,A105,14,0.055,0.096661067,1.757473945,2.19163005,7,ambient
19,A105,15,0.055,0.070540495,1.282554455,1.599389218,6,ambient
19,A105,16,0.055,0.090060248,1.637459055,2.041967382,11,ambient
19,A105,17,0.055,0.08816973,1.603086,1.999103005,4,ambient
19,A105,18,0.055,0.093544308,1.7008056,2.120962684,5,ambient
19,A105,19,0.055,0.100877316,1.834133018,2.28722653,5,ambient
19,A105,20,0.055,0.11409369,2.074430727,2.586885982,4,ambient
19,A105,21,0.055,0.125167905,2.275780091,2.837975516,4,ambient
19,A105,22,0.055,0.137408093,2.498328964,3.115501552,4,ambient
19,A105,23,0.055,0.164301173,2.987294055,3.725257724,4,ambient
19,A105,24,0.055,0.229282688,4.168776145,5.198606252,4,ambient
19,A105,25,0.055,0.185248298,3.368150873,4.200199186,4,ambient
19,A105,26,0.055,0.221730618,4.031465782,5.027375549,5,ambient
19,A105,27,0.055,0.254869475,4.633990455,5.778744387,20,ambient
19,A106,14,0.0591,0.066421905,1.123890102,1.430029967,5,ambient
19,A106,15,0.0591,0.077580069,1.312691523,1.670259578,8,ambient
19,A106,16,0.0591,0.093641581,1.584459915,2.016055807,10,ambient
19,A106,17,0.0591,0.117761569,1.99258154,2.535346915,6,ambient
19,A106,18,0.0591,0.089224371,1.509718629,1.920955509,5,ambient
19,A106,19,0.0591,0.102975445,1.742393316,2.217009171,5,ambient
19,A106,20,0.0591,0.11064518,1.872168866,2.382134665,4,ambient
19,A106,21,0.0591,0.15372219,2.601052284,3.309560879,4,ambient
19,A106,22,0.0591,0.14769407,2.499053638,3.179778499,4,ambient
19,A106,23,0.0591,0.184942532,3.129315262,3.981719033,4,ambient
19,A106,24,0.0591,0.181007367,3.062730406,3.896996918,4,ambient
19,A106,25,0.0591,0.200534793,3.393143706,4.317412508,4,ambient
19,A106,26,0.0591,0.214897208,3.636162572,4.626628027,6,ambient
19,A106,27,0.0591,0.270746533,4.581159611,5.82903571,20,ambient
19,A109,14,0.0533,0.087276054,1.637449418,2.024082955,12,ambient
19,A109,15,0.0533,0.071042039,1.332871276,1.647588013,16,ambient
19,A109,16,0.0533,0.078346962,1.46992424,1.817001835,11,ambient
19,A109,17,0.0533,0.078036207,1.46409394,1.809794885,6,ambient
19,A109,18,0.0533,0.082228926,1.542756585,1.907031312,5,ambient
19,A109,19,0.0533,0.088831602,1.666634184,2.060158808,5,ambient
19,A109,20,0.0533,0.096201632,1.804908668,2.231082581,4,ambient
19,A109,21,0.0533,0.116282922,2.18166833,2.696802508,4,ambient
19,A109,22,0.0533,0.129500374,2.429650544,3.003338124,5,ambient
19,A109,23,0.0533,0.135184443,2.53629349,3.135161535,4,ambient
19,A109,24,0.0533,0.151096206,2.834825629,3.504182898,4,ambient
19,A109,26,0.0533,0.172565658,3.237629606,4.002096704,6,ambient
19,A109,27,0.0533,0.195901177,3.675444221,4.54328783,19,ambient
